見出し,電話,ファックス,住所,開館時間,休館日,催し名,区分,開催日,場所,対象,定員,費用,申込,備考
県立近代美術館,073-436-8690　,073-436-1337 ,〒640-8137　和歌山市吹上1-4-14,9:30～17:00（入館は16:30まで）,休館／月曜（祝日の場合次の平日）,企画展「なつやすみの美術館7　すききらい、すき？きらい？」,展示,7月8日?9月18日,,,,一般510円　学生300円,,65歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立近代美術館,073-436-8690　,073-436-1337 ,〒640-8137　和歌山市吹上1-4-14,9:30～17:00（入館は16:30まで）,休館／月曜（祝日の場合次の平日）,コレクション展2017－夏 わかやまの名品特集「おはなしのなかへ」,展示,～9月10日,,,,一般510円　学生301円,,65歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立近代美術館,073-436-8690　,073-436-1337 ,〒640-8137　和歌山市吹上1-4-14,9:30～17:00（入館は16:30まで）,休館／月曜（祝日の場合次の平日）,キラキラ☆キライ（小学生向け鑑賞会）,イベント,8月5日14:00?14:45,,,,一般510円　学生300円,,65歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立博物館,073-436-8671　,073-423-2468,〒640-8137　和歌山市吹上1-4-15,9:30～17:00（入館は16:31まで）,休館／月曜（祝日の場合次の平日）,企画展「紀伊徳川家の家臣たちⅡ」　,展示,～7月17日,,,,,,66歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立博物館,073-436-8671　,073-423-2468,〒640-8137　和歌山市吹上1-4-15,9:30～17:00（入館は16:31まで）,休館／月曜（祝日の場合次の平日）,夏休み企画展「のぞいてみよう！えのぐばこ」,展示,7月22日?9月3日,,,,,,66歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立紀伊風土記の丘,073-471-6123　,073-471-6120 ,〒640-8301　和歌山市岩橋1411,9:00～16:30（入館は16:00まで）,休館／月曜（祝日の場合次の平日）,フカミンのおしゃべり考古学(2),イベント,7月14日13:30?15:00,,,,,,65歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立紀伊風土記の丘,073-471-6123　,073-471-6120 ,〒640-8301　和歌山市岩橋1411,9:00～16:30（入館は16:00まで）,休館／月曜（祝日の場合次の平日）,夏期企画展「道路の下から新発見～京奈和自動車道建設に伴う発掘調査からわかったこと～」,展示,7月15日?9月3日,,,,,,65歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立紀伊風土記の丘,073-471-6123　,073-471-6120 ,〒640-8301　和歌山市岩橋1411,9:00～16:30（入館は16:00まで）,休館／月曜（祝日の場合次の平日）,マツノ学芸員と観る風土記の昆虫(2)万葉歌と古代の草木花ガイド,イベント,8月4日10:00?12:00,,小学生以上,15人（先着順）,,7月5日13:00?,65歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立自然博物館,073-483-1777　,073-483-2721,〒642-0001　海南市船尾370-1,9:30～17:00（入館は16:30まで）,休館／月曜（祝日の場合次の平日）,特別展「興味津々！深海魚」,展示,7月21日?8月31日,,,,,,65歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立自然博物館,073-483-1777　,073-483-2721,〒642-0001　海南市船尾370-1,9:30～17:00（入館は16:30まで）,休館／月曜（祝日の場合次の平日）, 君もめざそう！きのくに子ども自然博士(1)昆虫子ども博士コース　,イベント,7月27?28日1泊2日,大川周辺（和歌山市）,小学5年?高校3年生,12人（抽選）,"3,000円",7月13日まで,65歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立自然博物館,073-483-1777　,073-483-2721,〒642-0001　海南市船尾370-1,9:30～17:00（入館は16:30まで）,休館／月曜（祝日の場合次の平日）, 君もめざそう！きのくに子ども自然博士(2)地学子ども博士コース,イベント,8月7?9日2泊3日,白崎海岸周辺（由良町）,小学5年?高校3年生,20人 （抽選）,"10,000円",7月２４日まで,65歳以上、障害者、高校生以下、外国人留学生などは入場無料
片男波公園万葉館,073-446-5553　,073-446-5554,〒641-0022　 和歌山市和歌浦南3-1700,9:00～17:00 （入館は16:30まで）,, 夏休み体験教室(1)和紙ちぎり絵教室,イベント,7月21日13:00?15:00,,小学生以上（小学生は保護者同伴）,20人（先着順）,"1,500円 ",,入場無料
片男波公園万葉館,073-446-5553　,073-446-5554,〒641-0022　 和歌山市和歌浦南3-1700,9:00～17:00 （入館は16:30まで）,,夏休み体験教室(2)[1]押し花の標本作り[2]押し花額作り,イベント,7月22日[1]10:00?12:00[2]13:00?15:00,,[1]小学生以上（小学生は保護者同伴）[2]18歳以上,各20人（先着順）," [1]900円[2]2,000円",500円 事前申込,入場無料
片男波公園万葉館,073-446-5553　,073-446-5554,〒641-0022　 和歌山市和歌浦南3-1700,9:00～17:00 （入館は16:30まで）,,夏休み体験教室(3)アートフラワーチューリップ飾り,イベント,7月23日13:00?15:00,,3歳以上（小学生以下は保護者同伴）,各20人（先着順）,"1,000円",,入場無料
